institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00498874,00498874,35453666,409275,741153,137080,1377000,31378331,281778,1129049,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00498891,00498891,28185949,185539,551058,298784,825236,25420750,235385,669197,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00507601,00507601,62787779,3149318,1599013,562566,3984281,49643214,781890,3067497,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00508268,00508268,57945265,3889170,3140319,648367,2994517,44706074,687714,1879104,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00509965,00509965,104525623,6910379,5177894,882778,3863646,82423994,1989007,3277925,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00510874,00510874,134155352,7108041,3343019,2663191,7203038,104394623,2338332,7105108,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00510912,00510912,66308190,8307418,2593211,3546801,3989341,42208278,4335258,1327883,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00511382,00511382,146461203,15132059,7342805,1800643,4563421,107393984,5785511,4442780,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00512281,00512281,29980162,278183,928589,278233,670156,24617408,2137271,1070322,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00513156,00513156,85757127,6679029,3036716,4019141,600208,60997314,5859452,4565267,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00518557,00518557,107577255,7602663,3337770,2612146,2354450,87993031,759818,2917377,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00520055,00520055,59092198,2337217,1979593,455438,2466929,49591657,1137778,1123586,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00520110,00520110,51985427,2410809,2561989,1930121,4083491,35450519,3670675,1877823,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00520152,00520152,86060929,2304357,1719665,1122617,10624921,65687934,679928,3921507,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00523925,00523925,91478480,1897659,1480238,21791443,2390406,60912455,722560,2283719,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00524646,00524646,55225148,2349605,790014,286857,2537800,47189453,585219,1486200,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00524905,00524905,65669861,2919051,3554932,920450,1958139,52518572,2553231,1245486,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00526517,00526517,111096419,6236235,3603387,2656496,6027227,81844645,1971857,8756572,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00527939,00527939,117767903,6941707,4455615,2522309,5692518,92840597,1196494,4118663,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00528714,00528714,63054222,2397953,2835778,4803028,3647935,46604383,717359,2047786,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00529842,00529842,84093131,7645325,3358536,1380033,2946748,64651809,2565361,1545319,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00530506,00530506,43795697,2217589,949836,56661,1989535,34668482,2418455,1495139,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00544612,00544612,44381294,1521831,921822,831064,1086489,37285169,243957,2490962,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00545121,00545121,45652102,1851569,308899,727085,1989255,37935141,512363,2327790,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00549185,00549185,58675672,406639,870322,138503,2864395,50945083,1453674,1997056,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00555053,00555053,87830929,8543998,5017149,2680071,3270720,61802806,2097924,4418261,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00555584,00555584,56529062,1662574,2152049,935228,3347482,44644619,1511763,2275347,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00555878,00555878,162775676,10193913,5100124,5777113,5910660,130786208,2857549,2150109,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00556807,00556807,82545338,3396704,4130351,1685668,3504557,65987372,1365490,2475196,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00558974,00558974,40673312,473693,570591,230433,4732477,33065890,891029,709199,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00558982,00558982,67439666,3315751,512887,1273124,7163746,53026984,1275558,871616,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00558991,00558991,67760048,3809525,542477,765332,6370301,53690115,1829838,752460,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559008,00559008,101036559,6819707,4011447,2666269,2573448,80100786,3675469,1189433,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559016,00559016,60596835,2094502,253203,1620511,3235883,50170322,1277650,1944764,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559032,00559032,84677900,4875807,741187,474350,6288588,68547074,2925302,825592,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559105,00559105,109250535,5536808,2682448,2594366,4647193,85487923,4304707,3997090,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559130,00559130,61599649,1793181,838457,1004865,5073745,50636424,724758,1528219,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559148,00559148,86320722,4844617,1903970,1124309,4557903,70015823,1965695,1908405,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559261,00559261,52235488,3126963,1137731,935272,2834445,41377344,1864503,959230,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559270,00559270,88441661,4733298,2176829,1074026,3611319,72186575,3014477,1645137,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559415,00559415,109269416,4642966,1305236,764706,3728697,92542444,4273179,2012188,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559466,00559466,64506628,2793897,742855,666700,4178604,51785173,784581,3554818,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559482,00559482,102325636,6482884,817598,2235281,4546906,82052345,3972603,2218019,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559504,00559504,87148924,2713429,571783,995254,3757231,74819786,2986101,1305340,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559539,00559539,54232680,937469,1164775,272063,2892807,46734342,1070342,1160882,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00559644,00559644,129071247,9382737,2113454,8186651,4700504,96578166,4734721,3375014,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00561151,00561151,40038330,458318,893964,395602,1023599,36041876,64812,1160159,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00566381,00566381,102148884,4156353,618179,2616287,6346033,85069659,1442127,1900246,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00566411,00566411,54224464,1125074,418411,795027,2797006,46478964,625916,1984066,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00566438,00566438,56923732,3047968,2690976,443429,3804696,43225722,2042352,1668589,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00566756,00566756,100390208,7070860,1528513,963803,3640104,81857692,2683545,2645691,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00566896,00566896,102138814,7501497,5039371,874115,3646525,76656022,3959809,4461475,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00567043,00567043,38647769,1458608,791473,982445,336800,34166751,552117,359575,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00567191,00567191,68959978,1688098,1563727,988611,2361780,58195441,2675322,1486999,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00567213,00567213,81858914,12420297,4328252,1123335,3164956,55042508,3603766,2175800,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00567566,00567566,50452726,5466702,680488,314206,1119361,41340618,1283592,247759,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00567582,00567582,85247876,6365679,1037320,237553,7563501,61445198,5018637,3579988,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00568945,00568945,84152014,5474923,1712665,2423313,2890876,62967044,3600212,5082981,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00574384,00574384,30266682,350050,671642,592496,2361410,24593698,779265,918121,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00574406,00574406,65283613,3260245,2070470,3199544,2116513,49358797,1847184,3430860,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00575933,00575933,93672972,2296285,3074109,1251826,2567887,79288478,1098688,4095699,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00576441,00576441,59146226,4993703,3111852,1485351,3434125,42079827,2211227,1830141,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577227,00577227,70157981,5947429,3065549,957218,1959339,55786487,796646,1645313,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577235,00577235,135923507,6377721,2630061,32711002,4936157,82979941,1636961,4651664,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577243,00577243,80775344,6077981,4155260,2109376,4591901,58915827,2300143,2624856,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577260,00577260,96778661,10006292,6149950,777778,5561060,69790029,2261724,2231828,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577324,00577324,56005736,1674816,3194990,732462,3126000,43947809,1608980,1720679,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577391,00577391,25096563,1353747,1497386,613224,1022003,19095108,536016,979079,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577448,00577448,62997274,4700820,1549629,178518,3845546,49766241,1105031,1851489,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00577910,00577910,51483049,2186355,3802759,1574229,2847271,37655163,452696,2964576,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00581071,00581071,54308338,1189375,864135,213726,7459615,42936658,400718,1244111,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00581101,00581101,134976939,5286081,3853381,2212608,7332306,108157554,2053195,6081814,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
