institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:08084301,3789127,352661,18690,1441342,0,0,allocated,observed
school:75006677,3714122,426789,18690,1441037,0,0,allocated,observed
school:60610786,3787543,352661,18690,1440791,0,0,allocated,observed
school:64328465,3785752,352661,20826,1440168,0,0,allocated,observed
school:75001586,3775263,352661,21957,1436517,0,0,allocated,observed
school:70989362,3780895,333601,38882,1431845,0,0,allocated,observed
school:60555122,3775559,352661,20025,1436620,0,0,allocated,observed
school:70978841,3774716,352661,20355,1436327,0,0,allocated,observed
school:71004777,3802629,294780,59633,1425898,0,0,allocated,observed
school:70435359,3773995,352661,19224,1436077,0,0,allocated,observed
school:19645571,3765710,352661,27690,1433193,0,0,allocated,observed
school:75027364,3768315,352661,23622,1434100,0,0,allocated,observed
school:49466780,3768341,352661,23559,1434109,0,0,allocated,observed
school:70996482,3674708,442887,27066,1432923,0,0,allocated,observed
school:71000020,3768377,352661,21627,1434121,0,0,allocated,observed
school:71007661,3763677,352661,27957,1432485,0,0,allocated,observed
school:70986801,3767866,352661,21423,1433943,0,0,allocated,observed
school:05666376,3686040,410865,52867,1425723,0,0,allocated,observed
school:72069724,3694871,426789,18957,1434338,0,0,allocated,observed
school:75017296,3741208,370223,32084,1430778,0,0,allocated,observed
school:49371665,3789598,332669,15753,1434549,0,0,allocated,observed
school:70987289,3763539,334855,47850,1426241,0,0,allocated,observed
school:70999473,3762477,352661,22758,1432068,0,0,allocated,observed
school:61988561,3766877,352661,16821,1433599,0,0,allocated,observed
school:70987343,3682557,412746,48885,1425165,0,0,allocated,observed
school:71002839,3677142,393054,81539,1416428,0,0,allocated,observed
school:70987157,3761610,336110,44017,1426006,0,0,allocated,observed
school:75020190,3761652,352661,20292,1431781,0,0,allocated,observed
school:70986061,3703335,374705,68152,1419158,0,0,allocated,observed
school:75005808,3630279,467816,41018,1426137,0,0,allocated,observed
school:70996261,3750248,345991,38584,1425491,0,0,allocated,observed
school:75033917,3754337,352661,21957,1429235,0,0,allocated,observed
school:70989974,3571561,533516,23141,1428567,0,0,allocated,observed
school:72550929,3754921,352661,18156,1429439,0,0,allocated,observed
school:65890710,3754746,352661,16821,1429378,0,0,allocated,observed
school:71006524,3764527,330465,33331,1425057,0,0,allocated,observed
school:64327787,3751808,352661,18690,1428356,0,0,allocated,observed
school:46070915,3750243,352661,17889,1427811,0,0,allocated,observed
school:71003819,3731976,344655,51202,1418667,0,0,allocated,observed
school:62156811,3743983,352661,21360,1425632,0,0,allocated,observed
school:70980314,3676364,407102,38199,1421047,0,0,allocated,observed
school:49466828,3741344,352661,23025,1424714,0,0,allocated,observed
school:75015854,3725055,344028,50786,1416041,0,0,allocated,observed
school:70940266,3739478,352661,16821,1424064,0,0,allocated,observed
school:71005234,3698948,376076,37901,1418108,0,0,allocated,observed
school:70109711,3736146,352661,17355,1422905,0,0,allocated,observed
school:75022605,3666745,377631,74237,1407443,0,0,allocated,observed
school:70980993,3626340,447277,33151,1417619,0,0,allocated,observed
school:62350161,3658092,426789,17622,1421539,0,0,allocated,observed
school:70922616,3725500,352661,24360,1419200,0,0,allocated,observed
school:70226016,3750857,332669,16287,1421067,0,0,allocated,observed
school:72033215,3712349,340500,57468,1410391,0,0,allocated,observed
school:70918694,3652494,426789,21627,1419591,0,0,allocated,observed
school:70872881,3724502,352661,17889,1418853,0,0,allocated,observed
school:72743875,3724461,352661,17355,1418838,0,0,allocated,observed
school:70940932,3720443,352661,18690,1417440,0,0,allocated,observed
school:47863773,3717408,352661,21360,1416384,0,0,allocated,observed
school:70944075,3715516,352661,22758,1415726,0,0,allocated,observed
school:75023156,3638143,410865,47967,1409055,0,0,allocated,observed
school:70996857,3718034,352661,18690,1416602,0,0,allocated,observed
school:70989427,3717980,352661,18423,1416583,0,0,allocated,observed
school:75022079,3611331,448009,33033,1412650,0,0,allocated,observed
school:75001578,3716220,352661,18957,1415971,0,0,allocated,observed
school:71000399,3716349,352661,18690,1416015,0,0,allocated,observed
school:75017644,3725594,314047,55355,1405795,0,0,allocated,observed
school:49466933,3712083,352661,19758,1414530,0,0,allocated,observed
school:71228411,3713067,352661,17355,1414873,0,0,allocated,observed
school:75022541,3712872,352661,17355,1414805,0,0,allocated,observed
school:61357162,3710860,352661,19758,1414105,0,0,allocated,observed
school:70993041,3710342,352661,18957,1413925,0,0,allocated,observed
school:70992509,3709695,352661,18690,1413700,0,0,allocated,observed
school:70869201,3710793,352661,17088,1414082,0,0,allocated,observed
school:70999724,3713106,334228,38764,1408472,0,0,allocated,observed
school:70996504,3677165,342738,71803,1398926,0,0,allocated,observed
school:75033224,3704388,352661,21093,1411853,0,0,allocated,observed
school:60610263,3655386,381511,47401,1404840,0,0,allocated,observed
school:72742500,3705596,352661,18423,1412274,0,0,allocated,observed
school:71005919,3700433,352661,18156,1410477,0,0,allocated,observed
school:70985685,3698734,352661,18423,1409886,0,0,allocated,observed
school:75022389,3625116,426789,17088,1410063,0,0,allocated,observed
school:70941068,3693871,352661,20088,1408193,0,0,allocated,observed
school:70997926,3639082,406797,19554,1407966,0,0,allocated,observed
school:70150729,3611287,415647,43986,1401373,0,0,allocated,observed
school:75030012,3659890,373149,35467,1403497,0,0,allocated,observed
school:71002774,3708125,314047,48320,1399716,0,0,allocated,observed
school:71005846,3712923,332669,16020,1407866,0,0,allocated,observed
school:64328210,3688068,352661,20025,1406173,0,0,allocated,observed
school:71000194,3688142,352661,19491,1406199,0,0,allocated,observed
