institution_id,programme,project_name,amount,basis,certainty
school:70989737,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Vřesovice,293632,allocated,observed
school:49753509,Operační program Jan Amos Komenský,Hravě v hlavě,391120,allocated,observed
school:48805424,Operační program Jan Amos Komenský,Vzdělání pro budoucnost,1300000,allocated,observed
school:70989478,Operační program Jan Amos Komenský,PODPORA VZDĚLÁVÁNÍ V MŠ PEČICE,303856,allocated,observed
school:72742909,Operační program Jan Amos Komenský,Za poznáním kolem světa se stonožkou Anežkou,384304,allocated,observed
school:75029057,Operační program Jan Amos Komenský,Šablony pro ZŠ Svébohov,574080,allocated,observed
school:70993246,Operační program Jan Amos Komenský,Šablony OP JAK 2 pro ZŠ pro žáky se SPU KV,360000,allocated,observed
school:70991057,Operační program Jan Amos Komenský,Šablony II MŠ Horní Životice,303856,allocated,observed
school:70188904,Operační program Jan Amos Komenský,"Šablony II OP JAK - MŠ Na Habru, Hořice",377936,allocated,observed
school:72742976,Operační program Jan Amos Komenský,Čtyřlístek pro štěstí našim dětem II,492912,allocated,observed
school:72052422,Operační program Jan Amos Komenský,Jeden obraz vydá za tisíc slov,976000,allocated,observed
school:75022893,Operační program Jan Amos Komenský,Veselá škola vzdělávání II.,606816,allocated,observed
school:70990883,Operační program Jan Amos Komenský,MŠ a ZŠ Sluhy - Šablony OP JAK II.,770672,allocated,observed
school:70988480,Operační program Jan Amos Komenský,Šablony MŠ Konice II.,417936,allocated,observed
school:61904163,Operační program Jan Amos Komenský,Uměním ke kultivaci charakteru mladého člověka 3,694816,allocated,observed
school:72068141,Operační program Jan Amos Komenský,Šablony na ZUŠ Jevíčko,448000,allocated,observed
school:64707130,Operační program Jan Amos Komenský,Šablony II OPJAK - CDM Č. Kamenice,688000,allocated,observed
